n_cliques,c_max,m1,m2,m3,sbar,degeneracy,family,tau,kbar_target,n,seed,kbar,secs
892,20,4.929372197309416,35.75,347.2320627802691,6.25244484876052,19,hrg,2.1,8.0,1000,1,8.062,0.15
2540,11,3.0212598425196853,11.368503937007874,53.77795275590552,2.7628355486056813,12,config,2.1,8.0,1000,1,6.924,0.16
867,20,4.502883506343713,30.55824682814302,296.4752018454441,5.786372950819673,19,hrg,2.1,8.0,1000,2,6.978,0.15
2538,8,2.836879432624113,9.587864460204885,38.45862884160756,2.3797222222222225,11,config,2.1,8.0,1000,2,6.306,0.15
911,17,5.006586169045005,36.165751920965974,338.3589462129528,6.223635167726377,16,hrg,2.1,8.0,1000,3,8.062,0.11
2355,10,2.9766454352441616,10.658174097664544,45.80976645435245,2.5805991440798857,10,config,2.1,8.0,1000,3,6.656,0.12
2697,30,5.023359288097886,40.16314423433445,507.20578420467183,6.99527605550635,29,hrg,2.1,8.0,3000,1,8.022666666666666,0.09
7979,11,3.1708234114550695,13.380122822408824,75.40393533024188,3.219762845849803,16,config,2.1,8.0,3000,1,6.868666666666667,0.11
2685,23,4.943016759776535,37.46070763500931,412.8446927374302,6.578511151295962,22,hrg,2.1,8.0,3000,2,7.959333333333333,0.15
7950,12,3.0283018867924527,12.005408805031447,63.97245283018868,2.964402907580478,15,config,2.1,8.0,3000,2,6.98,0.18
2697,26,5.042639970337412,43.35854653318503,565.5276232851317,7.598382352941178,26,hrg,2.1,8.0,3000,3,7.93,0.43
